country,share_transport,share_water_energy,share_construction,share_ict
Afghanistan,0.06888183683054726,0.01718054000623358,0.05928750293785718,0.04500941974843193
Albania,0.07725919839511028,0.023753544852896498,0.13946151885617727,0.032744549219868635
Algeria,0.06553101424678442,0.021382755240396966,0.06787439268438511,0.03172801610809498
Andorra,0.06775214387150613,0.018529194487894873,0.0677448388662136,0.03503865690148542
Angola,0.06411232656283888,0.02042893616434277,0.05592311892659489,0.035538333829888226
Antigua and Barbuda,0.09037238445169103,0.02362598980032233,0.07202918253368866,0.04346374290448048
Argentina,0.07642286622517108,0.021823853416931167,0.060927046789712794,0.02242505135555039
Armenia,0.058691248482483055,0.038868499450461336,0.13802011861813365,0.035521728471382505
Aruba,0.06084406050788167,0.046912608155212046,0.07449167619291316,0.03471452848319488
Australia,0.0734244890081048,0.01484087691155488,0.0820834490138062,0.028735970772229096
Austria,0.08570707722018142,0.02306014508598431,0.07300566031448479,0.02097036257803137
Azerbaijan,0.06081491058868166,0.03129768237603532,0.07863174957602573,0.03771037367105272
"Bahamas, The",0.05726642824748264,0.04342692206533464,0.06947427671677169,0.03566903162239174
Bahrain,0.07612128280048644,0.02090186670748161,0.09900131498583856,0.0356685044592363
Bangladesh,0.06801176574326631,0.017057635998123714,0.08445833488099005,0.034280767855829196
Barbados,0.08773089290474041,0.019921052124409713,0.060588241823731126,0.03696313573303287
Belarus,0.04702251198744522,0.016019693508262923,0.021477800992448313,0.012194451449420787
Belgium,0.0882751028815838,0.015189380015703744,0.05578276531300531,0.015564635258682112
Belize,0.08386624005934813,0.021403320087737557,0.06288850627994606,0.03958779415686848
Benin,0.07615408169089284,0.01942316079987466,0.0607826759124398,0.039462085520474616
Bermuda,0.05105743906526575,0.0236292955944039,0.06884159480779968,0.03584979142732796
Bhutan,0.06996358628319124,0.05963085430302562,0.16061662395971435,0.04751498944918303
Bolivia,0.09611909533004419,0.023595710327543765,0.0399059184317042,0.02750608621802383
Bosnia and Herzegovina,0.07051300976073184,0.03409943542014824,0.06169738439475556,0.030126268367976754
Botswana,0.061192340624046535,0.0245842539222845,0.09469532848807119,0.03203081983787985
Brazil,0.08521590643101201,0.03300477359857406,0.0464844004361818,0.038316093477470205
"Virgin Islands, British",0.07691763169215175,0.01915439025986056,0.06583877623570898,0.04513913975811483
Brunei Darussalam,0.06575679199935394,0.02504677139057287,0.052055094180889085,0.031852285213259085
Bulgaria,0.0707090556218451,0.03590511210475873,0.0670072035047796,0.03922082009898544
Burkina Faso,0.060389639571784205,0.025609078442302712,0.05537022174483781,0.030856227165851242
Burundi,0.06429212127255893,0.015972011581434017,0.06620315392949674,0.030367646658242507
Cambodia,0.07071304743447504,0.018439500786851293,0.053530378584860254,0.03810788673565477
Cameroon,0.07166735697200066,0.02044923850748147,0.05999868160520628,0.03712224299149273
Canada,0.09288887277975924,0.012861256642628502,0.06621812893607906,0.01853847165388499
Cape Verde,0.07915635015093565,0.021750542326166102,0.07371972281427622,0.050914669953654075
Cayman Islands,0.0652493084200919,0.03610925066746902,0.06431751892022737,0.04230618612943094
Central African Republic,0.07647623726599014,0.022896496907909934,0.05864249108600987,0.03800958352524555
Chad,0.06813314280447035,0.021242605192881032,0.058351116943091794,0.03467213652570121
Chile,0.08013694126292366,0.028191384150999574,0.085238101947821,0.026059386225472818
China,0.08069071370772124,0.04159333952373122,0.0847873523544012,0.011254071765076059
Colombia,0.06445357736743701,0.023679142343642216,0.08479640453671795,0.028370346105340668
"Congo, Rep.",0.07263126947916199,0.027368291626176062,0.06526876302080481,0.03671206355812555
Costa Rica,0.06751066532675101,0.01805670926124921,0.05449914901551435,0.034843517779471075
Croatia,0.06960668701470035,0.03605813203285639,0.08686588272267713,0.03147183779706931
Cuba,0.0538588136178244,0.020988714022663515,0.05201998067233628,0.030671497391594492
Cyprus,0.07088169650035742,0.025418355618887487,0.06290746743312312,0.035808302986850955
Czech Republic,0.12134535081064735,0.04302972876041338,0.07918587085003712,0.016707994752396527
Cote d'Ivoire,0.0717663803597958,0.021502227521341368,0.04871309630834687,0.03540275988036511
"Korea, Dem. Rep.",0.06005691680454779,0.0249704089095405,0.05291440471151279,0.02987367196415265
"Congo, Dem. Rep.",0.06917534215034944,0.022932158777360604,0.05974216910413241,0.03899796747205772
Denmark,0.07718633261597885,0.015915475990677407,0.06860261502060207,0.03567158580526825
Djibouti,0.0891005946137126,0.025993488495381974,0.06683751155476371,0.056576514508252254
Dominican Republic,0.06238382137240165,0.02426830779782371,0.056526436446021656,0.036143049157826984
Ecuador,0.10020179448396326,0.024492985559209604,0.08794624398202466,0.02313504242529147
"Egypt, Arab Rep.",0.060096464370121304,0.022287921734016235,0.05468635175838856,0.03495795526073156
El Salvador,0.06960568066924033,0.021560698341193982,0.05403023712552917,0.036779381043075
Eritrea,0.07347342535385407,0.019558943323263387,0.06843103214321038,0.044569835571497025
Estonia,0.1317449256982474,0.0345338586378231,0.07465610839948333,0.027359113597310455
Ethiopia,0.09688258503522947,0.0096108566413176,0.04906015427934191,0.03421619165344868
Fiji,0.08147880508196648,0.018824032983233006,0.053247299634967486,0.0393200003554675
Finland,0.07110973792277779,0.016675582566689152,0.06609050863011166,0.021831085312755922
France,0.09059716504066591,0.01931320219693407,0.06036909004615652,0.01816572479637837
French Polynesia,0.0693411811180675,0.02042798770587372,0.05665044165270848,0.037174311496485875
Gabon,0.07439422543952666,0.02148921662614,0.06509343815570855,0.03581896932647852
"Gambia, The",0.06788066485646214,0.0216460595843162,0.061011835785930245,0.04765509259477721
Georgia,0.10345818333764396,0.02753175338273788,0.09190170084373202,0.030236968297067183
Germany,0.12066235322382143,0.020724526158771142,0.04326661776729589,0.01832083202217383
Ghana,0.06100522565773953,0.03571725951737406,0.07186401921992162,0.0343419097350163
Greece,0.05445942539002988,0.01945814810801434,0.09941872732612386,0.018296956322614376
Greenland,0.10651726985768538,0.028603824648961457,0.09691050465300437,0.041633807805058015
Guatemala,0.06553208354060401,0.02173019031724681,0.058200360134197736,0.03297390235650407
Guinea,0.07390734849375781,0.02657210629776324,0.0742922132809754,0.03721501502739899
Guyana,0.07522713320702433,0.02066941256247229,0.0692882265299997,0.038611410687429536
Haiti,0.0678899572019382,0.01835783608033581,0.06363771829182302,0.041099564402659404
Honduras,0.07249918682823592,0.025929728831222187,0.058157823189394546,0.029327554126526958
"Hong Kong SAR, China",0.05338263865423914,0.013335387249121613,0.0882321436580807,0.0020760722290830568
Hungary,0.0970492838431469,0.030535240047338517,0.049801254991828595,0.022297827862342464
Iceland,0.07231400693890817,0.019827063046690747,0.05914793299919842,0.043440140111189136
India,0.12194363518597634,0.03575642113252081,0.08320116249153225,0.010880633957506377
Indonesia,0.08367851096020669,0.012406416290020886,0.10519510787254291,0.009710616623195277
"Iran, Islamic Rep.",0.1563368839823185,0.008662204330779952,0.06825487558315542,0.008099489212414717
Iraq,0.06489862551766386,0.024130999749028437,0.0493786444021179,0.049203477915657406
Ireland,0.04697989212441636,0.010999859211541776,0.08870677145346535,0.022320256441895548
Israel,0.06683694080368324,0.017632243158606987,0.06561688115399249,0.021026023783721925
Italy,0.08409419478874515,0.021066203453152722,0.05296207226512959,0.016637898736488188
Jamaica,0.06797062748044602,0.03899896266620806,0.06048418113066798,0.03968031232247759
Japan,0.08620251376059997,0.027622653225876488,0.06086455527031896,0.029650027248841318
Jordan,0.0820486264877559,0.015122128881898561,0.07034763884190338,0.04353613697080969
Kazakhstan,0.08905617534797557,0.02511913609317933,0.08464399436307637,0.015994040677789634
Kenya,0.09696727000448044,0.017647955328939615,0.08731481590461411,0.030022741219762186
Kuwait,0.09603224006482626,0.02853951464314557,0.05964444986373439,0.023092422965684027
Kyrgyz Republic,0.06754101406941196,0.046405373473412094,0.05611526995178623,0.011032955160514685
Lao PDR,0.06025807539990647,0.029003097286535263,0.06696284622935803,0.03683680777888869
Latvia,0.10893526712172878,0.04360967570673102,0.08660757865509382,0.031145685393183985
Lebanon,0.06592756987975769,0.03131721406508279,0.06773886324484116,0.036696635139456306
Lesotho,0.0635554268372298,0.03151231174753468,0.07887157104708241,0.029971684136215128
Liberia,0.11637962056587116,0.023003548291268387,0.03823054158940124,0.03944274574997613
Libya,0.06204106059809393,0.021449339666788546,0.0584985906525508,0.03319288242580776
Liechtenstein,0.06987072648653182,0.020025537532912897,0.05683441807912985,0.039996548037152906
Lithuania,0.07591709958828782,0.03737119146516689,0.06087914525239451,0.02428768082800932
Luxembourg,0.06336265019072874,0.00906348192913621,0.041148531693599964,0.018426020952172124
"Macao SAR, China",0.057231603969322,0.01660203425346901,0.05631018300580094,0.028713406611562742
Madagascar,0.07501887887929974,0.019099618457982154,0.05126410526834522,0.04019590364568878
Malawi,0.07068642406303811,0.02126271504649926,0.04990378655173321,0.03820763362234931
Malaysia,0.06499446655631823,0.021204626120340284,0.04160607148283576,0.02200740291864331
Maldives,0.07015610156687903,0.017930453240824932,0.07576138072464107,0.0430107091182887
Mali,0.07350893356762808,0.024693400718801047,0.061804554780096416,0.03710807234349592
Malta,0.08280764941106465,0.020510092343185748,0.05112934960016966,0.02695543607263386
Mauritania,0.06801793718607835,0.03668490568186141,0.05602069127703201,0.029202765944456897
Mauritius,0.09744638127049686,0.024898577911438735,0.09058022232502735,0.029609510940102456
Mexico,0.12464131524543481,0.0179741477092644,0.08765530999183362,0.024962422766037405
Monaco,0.06181583894148653,0.015171763483888639,0.06379913789584667,0.04092292096631126
Mongolia,0.08178228704248794,0.03294654408268702,0.05990269868608423,0.05679719740766033
Montenegro,0.07424707351768264,0.035490732498720826,0.07143381750740728,0.040567608619198635
Morocco,0.06458042622621378,0.019881006990326015,0.06922384593128553,0.032168960769315746
Mozambique,0.0760176979570858,0.024661803332361645,0.06920113986191415,0.04976372324294878
Myanmar,0.08427726504729338,0.007061230046502783,0.047051003371226224,0.030389824002638163
Namibia,0.06287990446410281,0.02330396915398707,0.06789074606548572,0.0359388498925412
Nepal,0.07229167404539437,0.02045556901777981,0.054067050217993885,0.0375227003628224
Netherlands,0.061980644832887385,0.01972474387220429,0.062216503061575106,0.019518055468848276
ANT,0.1308268914091162,0.047160040812426286,0.08047444891624933,0.03859587326098744
New Caledonia,0.06323080364928176,0.030987864293129323,0.09515846994736318,0.03307215371271703
New Zealand,0.061784561604144216,0.02655336651496336,0.07124436312062456,0.030262940014289995
Nicaragua,0.06846626517580386,0.027874855553460323,0.06915495383811153,0.03267617197625198
Niger,0.05870552168062537,0.02507977557344413,0.05740894827454092,0.03761160243281744
Nigeria,0.048551502805967525,0.016242602548489277,0.03775264529353905,0.03535877524639411
Norway,0.11894715900019409,0.014747639102269719,0.06543117753847365,0.02605803530210096
West Bank and Gaza,0.06140265298421482,0.026519980517089568,0.07015242619048256,0.03176308506336333
Oman,0.06217957806009447,0.02920166216569027,0.0779470939600809,0.029004529323891626
Pakistan,0.0644038160822117,0.0218613158600703,0.04857863657916636,0.037685298182426503
Panama,0.07294089334935053,0.019887926322164563,0.06031667404265333,0.03764110258915281
Papua New Guinea,0.06284360489483282,0.02882921567784063,0.05770362362672568,0.032333005344527085
Paraguay,0.06992324286954467,0.01958433726882695,0.06769565744144798,0.014369908193048023
Peru,0.07593138947736802,0.01340397755682391,0.084890605121796,0.01313378652121568
Philippines,0.051069656208976945,0.026624737980467834,0.05952406881445173,0.012234190699862226
Poland,0.08280136382643065,0.03365827073658104,0.09156290722482878,0.020257465648067217
Portugal,0.06376800385764031,0.027661002576812904,0.10129344212858374,0.026940288088194767
Qatar,0.054635032437702374,0.0200806232672198,0.07762032118486976,0.03428612012353025
"Korea, Rep.",0.08253124230768956,0.025079101564768762,0.03851512016601112,0.011075782892945538
Moldova,0.0764000586259964,0.040125840753909875,0.04868040138548129,0.058854545106334415
Romania,0.08484335734929017,0.061608319377007684,0.06434191090455701,0.027249445102310928
Russian Federation,0.0848432724734368,0.026873582952424004,0.07409012101620213,0.00029393300155300986
Rwanda,0.06592215515960798,0.017947619357955295,0.06190347462564307,0.03894887880632737
Samoa,0.0700962667059778,0.02701868736736816,0.07228605988157218,0.048877206352361424
San Marino,0.08494049610557632,0.015536729029774493,0.09207124155895635,0.03627004876171296
S?Tom?nd Principe,0.06986622636121625,0.024294272412544372,0.06926381654757885,0.05276470336771158
Saudi Arabia,0.06016085045551813,0.01896864063733187,0.06837742104083548,0.03316272547355659
Senegal,0.06916100309829029,0.024870429722065292,0.06896492876895284,0.03631969228156925
Serbia,0.06618136168173083,0.05610981384595473,0.05475269250797954,0.03224803276706273
Seychelles,0.09723647137565838,0.022433504568094332,0.08544368451054113,0.040382113751539515
Sierra Leone,0.05277205652826882,0.022729900984435267,0.03689973834097289,0.03293101098706759
Singapore,0.10482317847850066,0.022629672406666555,0.05716411929517386,0.03278523568530149
Slovak Republic,0.13113270711561106,0.07460883467298388,0.08046930486409792,0.017165736479964135
Slovenia,0.09149265447561773,0.021301353073114496,0.0871541526749252,0.01780784508989097
Somalia,0.08489459579955363,0.020911694045950092,0.062080999829424,0.044732753510967865
South Africa,0.09473365503271912,0.023661918908183623,0.051126757854837286,0.03237306081231936
SDS,0.06380410072663376,0.022839872012128115,0.059940583670575046,0.04043020493033136
Spain,0.10432172910362743,0.021398912050480914,0.11972129762308134,0.023274443358682114
Sri Lanka,0.0732659867700701,0.017517979002108983,0.07333334914308368,0.05390921108946572
SUD,0.06422474138533991,0.02179145161641344,0.05951596254129249,0.040520163266777515
Suriname,0.07125272063122673,0.03230956720307907,0.06262473599835433,0.033570078859351336
Swaziland,0.08553389692104314,0.02057142947200015,0.052864002457576734,0.03456800741516862
Sweden,0.12113945672210327,0.017024444981890496,0.039609195872032175,0.02148394697751457
Switzerland,0.06301241019827339,0.030861288915721742,0.048851135729554504,0.019879783591011613
Syrian Arab Republic,0.06683778498547553,0.08196477180895899,0.05244720393392748,0.03230889745109662
Taiwan,0.06577624760103802,0.02214334800942684,0.04257361110582219,0.017031249851289572
Tajikistan,0.07235920910159972,0.015083822968540883,0.03707072056242269,0.03901108531176297
Thailand,0.09215495535058035,0.03758776638299778,0.03315446464631157,0.014091086721077053
"Macedonia, FYR",0.06408348601351506,0.03283160031901049,0.08679549342914326,0.03890293202362499
Togo,0.08235296117303503,0.02529865239633407,0.052802246689265905,0.038105796447335444
Trinidad and Tobago,0.08383695522406424,0.017525782255841525,0.0475982008266022,0.029752564309142623
Tunisia,0.07627703508094606,0.019334846997256006,0.0600228556530463,0.031064415536419854
Turkey,0.1164326702619996,0.024729800511988632,0.06573510000231265,0.01563129658101084
Turkmenistan,0.07064569747523548,0.013470096082412371,0.0637693324994091,0.037364410320395884
USR,0.07687666420685918,0.038438495098273844,0.03843817263616313,0.03843817325867686
Uganda,0.06687328718410537,0.02191262087784291,0.06331355501644124,0.03732241674459272
Ukraine,0.0673165168287768,0.06641413395446932,0.024495853509999527,0.015105775413113184
United Arab Emirates,0.07186535281278914,0.020533369251114077,0.0896183688347867,0.03862003496522333
United Kingdom,0.08153980656584275,0.025217828920473535,0.07059760505893904,0.02367696016607496
Tanzania,0.067199763805389,0.0213564397549983,0.04992393950868691,0.03659842162019926
United States,0.06733508658869002,0.018331914274790313,0.04971246525896812,0.03750726255788052
Uruguay,0.05781278753794284,0.022350484778999858,0.09279335800254888,0.020991376572148904
Uzbekistan,0.052312164824821206,0.01935106330572205,0.10577847534393515,0.012848845832109424
Vanuatu,0.09132352026720185,0.02082134318938627,0.06066678440341516,0.042410916769359853
"Venezuela, RB",0.0710465096960722,0.017215394676562086,0.08302373986357406,0.018691265153836314
Vietnam,0.06983239547058295,0.024232218979627816,0.10731957505585038,0.008998628004543853
"Yemen, Rep.",0.07122772514597289,0.02291819537721405,0.05395414466953351,0.03954532489400406
Zambia,0.06649553087673903,0.02118414483952546,0.05818666134018592,0.03514845386604861
Zimbabwe,0.08521687096956963,0.043101187137729396,0.03977183562570127,0.04723015126047453
