ISO,Projection,EPSG,country,Sheet,Total Length (km),Total Primary,Total Secondary,Total Tertiary,Residential,Track / service,Total Other
SYC,UTM40S,32740,Seychelles,SYC_UTM40S,450.4986788,54.5731987,59.91589,28.9750398,216.8293008,71.7322971,18.4729524
SLB,UTM50S,32750,Solomon Islands,SLB_UTM50S,1671.921467,148.6508603,159.4623083,209.0690099,216.9333543,259.7114679,678.0944665
VCT,UTM20N,32620,St. Vincent and the Grenadines,VCT_UTM20N,804.3113474,62.1959787,42.6701027,42.0140112,339.2968264,164.8181917,153.3162367
TLS,UTM51S,32751,Timor-Leste,TLS_UTM51S,4315.364731,1193.54979,370.9659259,609.2992107,542.7219033,611.3695634,987.4583375
TON,UTM1S,32701,Tonga,TON_UTM1S,1814.821691,47.9605838,56.1489905,197.2287899,410.0428328,819.0511231,284.389371
TTO,UTM20N,32620,Trinidad and Tobago,TTO_UTM20N,11432.3136,660.9350278,818.8674465,701.9502949,6229.776836,1833.424721,1187.35927
CUB,UTM17N,32617,Cuba,CUB_UTM17N,70433.60768,5152.037544,6771.522599,8274.474516,17037.82007,32689.19929,508.553664
DOM,UTM19N,32619,Dominican Republic,DOM_UTM19N,30130.48759,2826.929026,2548.319922,2824.837829,15543.04384,4524.683917,1862.673058
HTI,UTM18N,32618,Haiti,HTI_UTM18N,30127.36597,1035.937743,1616.294096,1414.995709,5088.878595,9988.709733,10982.5501
PNG,UTM56S,32756,Papua New Guinea,PNG_UTM56S,19396.7392,1884.82683,2192.845649,1944.797724,1079.884928,5000.854387,7293.529686
JAM,UTM18N,32618,Jamaica,JAM_UTM18N,14969.82159,1069.891646,1072.979872,1255.614165,7609.42935,1510.734627,2451.17193
FIJ,FijiMapPro,3460,Fiji,FIJ_FijiMapPro,7597.078095,499.0438788,402.7870157,860.3906097,2501.573338,2651.147689,2101.448562
BLZ,UTM16N,32616,Belize,BLZ_UTM16N,7531.27088,544.4743691,150.2661182,576.3638965,1730.025635,2708.99286,1821.148001
BHS,UTM18N,32618,Bahamas,BHS_UTM18N,7033.335154,679.9612331,512.1718777,445.8112361,2699.568179,1752.00726,943.815368
MUS,UTM40N,32640,Mauritius,MUS_UTM40N,5534.874399,250.0300553,807.9438271,369.1174973,2724.279486,798.3501655,585.1533685
BRB,UTM21N,32621,Barbados,BRB_UTM21N,2669.514722,178.3961512,187.5652315,141.3700863,1534.213339,627.9699141,0
WSM,UTM2S,32702,Samoa,WSM_UTM2S,2482.742005,325.7275555,125.4130156,106.5323513,386.2611109,1381.359543,157.4484285
ATG,UTM20N,32620,Antigua and Barabuda,ATG_UTM20N,1368.449906,104.5782298,70.56146098,54.12317245,757.9178423,379.9644981,1.3047025
KIR,UTM59N,32659,Kiribati,KIR_UTM59N,1190.900576,68,87,7,67,589,374
MDV,UTM43N,32643,Maldives,MDV_UTM43N,1119.230926,34.7313749,17.3736716,28.0683858,808.5503192,110.8632393,119.6439356
BMU,UTM20N,32620,Bermuda,BMU_UTM20N,669.557654,75.4250851,25.2108611,20.28307305,365.4823161,152.4274316,30.72888713
LCA,UTM20N,32620,St Lucia,LCA_UTM20N,,151.108,122.975,437.301,,,1179.616
DMA,UTM20N,32620,Dominica,DMA_UTM20N,1222.463631,120.393847,79.0664434,44.7814747,359.2985248,484.9700235,133.9533179
MHL,UTM59N,32659,Marshall Islands,MHL_UTM59N,107.2369294,0,6.3681379,8.6328998,6.989726,59.0022913,26.2438744
FSM,UTM57N,32657,"Micronesia, Fed. Sts.",FSM_UTM57N,525.1166457,0,0,119.4112837,88.342978,212.4431416,104.9192424
PLW,UTM53N,32653,Palau,PLW_UTM53N,293.1556739,0,88.3494157,47.5869095,36.7320751,67.3621227,53.1251509
STP,UTM32N,32732,Sao Tome and Principe,STP_UTM32N,891.7991723,108.3757297,73.1033806,49.5780688,153.753127,402.1103591,104.8785071
